vehicle_id,timestamp_lend,lng_lend,lat_lend,timestamp_returned,lng_returned,lat_returned,current_range_meters_lend,pedelec_battery_lend,pedelec_battery_returned,current_range_meters_returned
6644,2024-03-05 06:12:00+00:00,8.6769,49.3788,2024-03-05 09:24:00+00:00,8.6769,49.3789,1000,16,100,46000
6573,2024-03-05 06:15:00+00:00,8.6828,49.4333,2024-03-05 06:42:00+00:00,8.7055,49.413,40000,88,79,35000
2667,2024-03-05 06:18:00+00:00,8.6858,49.3907,2024-03-05 06:33:00+00:00,8.6764,49.404,18000,47,45,17000
3337,2024-03-05 06:18:00+00:00,8.6831,49.3996,2024-03-05 06:24:00+00:00,8.6763,49.4041,35000,79,79,35000
6248,2024-03-05 06:18:00+00:00,8.6659,49.3773,2024-03-05 06:27:00+00:00,8.6836,49.3905,26000,62,57,23000
11647,2024-03-05 06:18:00+00:00,8.6857,49.414,2024-03-05 06:33:00+00:00,8.6852,49.4005,37000,84,81,36000
10782,2024-03-05 06:18:00+00:00,8.671,49.409,2024-03-05 06:30:00+00:00,8.6726,49.416,36000,82,78,34000
7248,2024-03-05 06:21:00+00:00,8.6925,49.3929,2024-03-05 06:42:00+00:00,8.6782,49.3782,35000,80,76,33000
6027,2024-03-05 06:21:00+00:00,8.6707,49.4091,2024-03-05 06:42:00+00:00,8.6842,49.4089,37000,84,81,36000
11832,2024-03-05 06:24:00+00:00,8.6486,49.4187,2024-03-05 06:30:00+00:00,8.6486,49.4187,22000,56,56,22000
152,2024-03-05 06:24:00+00:00,8.7085,49.4071,2024-03-05 08:00:00+00:00,8.7086,49.4071,4000,22,22,4000
4947,2024-03-05 06:27:00+00:00,8.6905,49.3883,2024-03-05 06:33:00+00:00,8.6896,49.3981,36000,82,82,36000
5827,2024-03-05 06:30:00+00:00,8.6922,49.4006,2024-03-05 06:39:00+00:00,8.6939,49.4137,44000,96,93,42000
12078,2024-03-05 06:30:00+00:00,8.6514,49.4191,2024-03-05 06:36:00+00:00,8.6587,49.4118,14000,40,38,13000
9740,2024-03-05 06:30:00+00:00,8.6838,49.3896,2024-03-05 06:36:00+00:00,8.6842,49.3895,43000,95,95,43000
12760,2024-03-05 06:33:00+00:00,8.6581,49.3828,2024-03-05 06:42:00+00:00,8.6687,49.3829,27000,64,64,27000
10903,2024-03-05 06:36:00+00:00,8.6888,49.4263,2024-03-05 06:45:00+00:00,8.6675,49.4184,39000,87,84,37000
6248,2024-03-05 06:36:00+00:00,8.6837,49.3905,2024-03-05 06:48:00+00:00,8.6791,49.4049,22000,55,49,19000
4193,2024-03-05 06:36:00+00:00,8.6955,49.4076,2024-03-05 06:42:00+00:00,8.6892,49.4058,32000,74,73,32000
8190,2024-03-05 06:39:00+00:00,8.6816,49.3829,2024-03-05 06:54:00+00:00,8.6739,49.4009,18000,48,38,13000
4622,2024-03-05 06:39:00+00:00,8.6826,49.4002,2024-03-05 06:45:00+00:00,8.6762,49.4041,40000,88,87,39000
12519,2024-03-05 06:39:00+00:00,8.6891,49.4144,2024-03-05 06:48:00+00:00,8.6807,49.4207,27000,65,61,25000
10367,2024-03-05 06:39:00+00:00,8.6868,49.3918,2024-03-05 06:45:00+00:00,8.6878,49.3952,4000,22,21,4000
8403,2024-03-05 06:42:00+00:00,8.6856,49.3924,2024-03-05 07:00:00+00:00,8.6673,49.4181,25000,60,50,19000
11903,2024-03-05 06:42:00+00:00,8.6388,49.4014,2024-03-05 23:27:00+00:00,8.6721,49.3981,1000,16,100,46000
1050,2024-03-05 06:45:00+00:00,8.6998,49.4101,2024-03-05 06:57:00+00:00,8.6797,49.4056,11000,34,31,9000
525,2024-03-05 06:48:00+00:00,8.6863,49.4053,2024-03-05 07:03:00+00:00,8.6815,49.4047,17000,45,41,14000
7722,2024-03-05 06:48:00+00:00,8.6818,49.3829,2024-03-05 07:12:00+00:00,8.6737,49.4008,16000,44,30,9000
80,2024-03-05 06:51:00+00:00,8.6479,49.4202,2024-03-05 06:57:00+00:00,8.6519,49.419,41000,90,90,41000
5462,2024-03-05 06:51:00+00:00,8.6902,49.4155,2024-03-05 07:03:00+00:00,8.666,49.417,8000,28,25,6000
337,2024-03-05 06:54:00+00:00,8.7088,49.4103,2024-03-05 07:03:00+00:00,8.6819,49.4049,40000,88,83,37000
56,2024-03-05 06:54:00+00:00,8.6835,49.3958,2024-03-05 07:09:00+00:00,8.6785,49.3775,31000,71,63,26000
8648,2024-03-05 06:54:00+00:00,8.6618,49.4044,2024-03-05 07:09:00+00:00,8.6796,49.3967,11000,34,26,6000
11647,2024-03-05 06:54:00+00:00,8.6853,49.4004,2024-03-05 07:12:00+00:00,8.6766,49.4194,34000,78,73,32000
5359,2024-03-05 06:57:00+00:00,8.6923,49.4107,2024-03-05 07:09:00+00:00,8.665,49.4093,46000,100,97,44000
11986,2024-03-05 06:57:00+00:00,8.6376,49.4141,2024-03-05 07:15:00+00:00,8.6828,49.3903,38000,85,72,31000
1356,2024-03-05 07:00:00+00:00,8.6815,49.4148,2024-03-05 07:09:00+00:00,8.6767,49.4085,40000,89,87,39000
1770,2024-03-05 07:00:00+00:00,8.6752,49.4021,2024-03-05 07:06:00+00:00,8.6657,49.4061,16000,43,43,16000
1275,2024-03-05 07:03:00+00:00,8.6837,49.428,2024-03-05 07:15:00+00:00,8.6751,49.4194,18000,48,43,16000
2486,2024-03-05 07:06:00+00:00,8.6766,49.4182,2024-03-06 23:00:00+00:00,8.6764,49.4182,40000,89,86,39000
80,2024-03-05 07:09:00+00:00,8.6519,49.419,2024-03-05 07:15:00+00:00,8.6483,49.4204,40000,88,88,40000
9654,2024-03-05 07:09:00+00:00,8.6522,49.4103,2024-03-05 07:15:00+00:00,8.6598,49.4093,38000,85,84,37000
6293,2024-03-05 07:12:00+00:00,8.6907,49.3833,2024-03-05 07:33:00+00:00,8.6727,49.3947,36000,82,77,34000
10507,2024-03-05 07:12:00+00:00,8.6444,49.4219,2024-03-05 07:18:00+00:00,8.6396,49.4246,31000,71,69,29000
6957,2024-03-05 07:12:00+00:00,8.6848,49.3954,2024-03-05 07:21:00+00:00,8.6901,49.3924,18000,47,46,17000
3535,2024-03-05 07:15:00+00:00,8.6828,49.3809,2024-03-05 07:21:00+00:00,8.6752,49.3789,5000,23,23,5000
5335,2024-03-05 07:15:00+00:00,8.6757,49.379,2024-03-05 07:27:00+00:00,8.6868,49.386,43000,95,91,41000
4911,2024-03-05 07:15:00+00:00,8.6745,49.4051,2024-03-05 07:24:00+00:00,8.6712,49.4092,22000,56,55,22000
8190,2024-03-05 07:18:00+00:00,8.6738,49.4008,2024-03-05 07:27:00+00:00,8.6857,49.3926,13000,38,34,11000
8710,2024-03-05 07:21:00+00:00,8.6917,49.4001,2024-03-05 07:39:00+00:00,8.668,49.4042,42000,93,85,38000
2434,2024-03-05 07:21:00+00:00,8.6624,49.4047,2024-03-05 07:27:00+00:00,8.6624,49.4049,16000,44,44,16000
11616,2024-03-05 07:21:00+00:00,8.6713,49.4132,2024-03-05 07:27:00+00:00,8.6628,49.4161,16000,44,43,16000
4622,2024-03-05 07:21:00+00:00,8.6767,49.4042,2024-03-05 07:27:00+00:00,8.6845,49.406,39000,86,86,39000
5877,2024-03-05 07:24:00+00:00,8.691,49.4101,2024-03-05 07:30:00+00:00,8.685,49.408,27000,65,64,27000
6192,2024-03-05 07:24:00+00:00,8.6695,49.4018,2024-03-05 09:00:00+00:00,8.6731,49.415,37000,83,75,33000
5063,2024-03-05 07:24:00+00:00,8.6799,49.3973,2024-03-05 07:39:00+00:00,8.6758,49.4025,10000,33,31,9000
5245,2024-03-05 07:27:00+00:00,8.6598,49.4092,2024-03-05 08:12:00+00:00,8.6598,49.4092,32000,73,73,32000
11448,2024-03-05 07:30:00+00:00,8.689,49.3985,2024-03-05 07:39:00+00:00,8.6775,49.3953,41000,90,90,41000
4392,2024-03-05 07:30:00+00:00,8.6489,49.4027,2024-03-05 08:03:00+00:00,8.6707,49.4013,8000,29,22,4000
12711,2024-03-05 07:30:00+00:00,8.6832,49.4157,2024-03-05 07:39:00+00:00,8.6769,49.4064,37000,84,80,35000
9978,2024-03-05 07:33:00+00:00,8.6426,49.4283,2024-03-05 07:39:00+00:00,8.6404,49.4266,14000,41,41,14000
2957,2024-03-05 07:36:00+00:00,8.6415,49.3962,2024-03-05 07:42:00+00:00,8.6413,49.4018,31000,71,71,31000
6280,2024-03-05 07:36:00+00:00,8.6854,49.3789,2024-03-05 13:42:00+00:00,8.6854,49.3789,24000,59,58,24000
9597,2024-03-05 07:36:00+00:00,8.6749,49.4199,2024-03-05 07:48:00+00:00,8.6677,49.4157,27000,64,61,25000
8088,2024-03-05 07:42:00+00:00,8.6783,49.4269,2024-03-05 07:51:00+00:00,8.6678,49.4197,42000,93,90,41000
337,2024-03-05 07:42:00+00:00,8.6818,49.405,2024-03-05 07:51:00+00:00,8.6709,49.4092,37000,83,81,36000
2931,2024-03-05 07:42:00+00:00,8.6476,49.4293,2024-03-05 07:57:00+00:00,8.6424,49.4249,21000,54,54,21000
4179,2024-03-05 07:45:00+00:00,8.6683,49.4002,2024-03-05 08:03:00+00:00,8.6392,49.4244,42000,92,83,37000
8268,2024-03-05 07:45:00+00:00,8.6835,49.4282,2024-03-06 01:15:00+00:00,8.6756,49.4194,1000,16,100,46000
8033,2024-03-05 07:45:00+00:00,8.6832,49.3964,2024-03-05 07:54:00+00:00,8.6745,49.4053,22000,55,50,19000
3337,2024-03-05 07:45:00+00:00,8.6767,49.4042,2024-03-05 08:03:00+00:00,8.7093,49.4152,34000,77,69,29000
4005,2024-03-05 07:48:00+00:00,8.6778,49.4041,2024-03-05 09:57:00+00:00,8.6729,49.3946,2000,17,100,46000
12519,2024-03-05 07:48:00+00:00,8.6807,49.4208,2024-03-05 08:06:00+00:00,8.6675,49.4184,25000,61,56,22000
11876,2024-03-05 07:48:00+00:00,8.6974,49.411,2024-03-05 07:54:00+00:00,8.6944,49.4096,15000,42,41,14000
423,2024-03-05 07:51:00+00:00,8.6824,49.3823,2024-03-05 08:09:00+00:00,8.6794,49.4082,31000,71,61,25000
2919,2024-03-05 07:54:00+00:00,8.6701,49.3996,2024-03-05 08:03:00+00:00,8.673,49.3948,14000,40,37,12000
2856,2024-03-05 07:54:00+00:00,8.6644,49.4089,2024-03-05 08:06:00+00:00,8.6771,49.405,41000,91,89,40000
5359,2024-03-05 07:54:00+00:00,8.665,49.4092,2024-03-05 08:06:00+00:00,8.6771,49.405,43000,94,91,41000
8699,2024-03-05 07:57:00+00:00,8.6913,49.4146,2024-03-05 08:18:00+00:00,8.6935,49.4106,39000,86,81,36000
2434,2024-03-05 07:57:00+00:00,8.6624,49.4049,2024-03-05 09:12:00+00:00,8.6624,49.4048,16000,44,44,16000
2667,2024-03-05 07:57:00+00:00,8.6763,49.4041,2024-03-05 08:06:00+00:00,8.6728,49.3947,14000,41,38,13000
777,2024-03-05 08:00:00+00:00,8.7038,49.4101,2024-03-05 08:09:00+00:00,8.6902,49.3995,8000,29,25,6000
831,2024-03-05 08:00:00+00:00,8.6389,49.4074,2024-03-05 08:12:00+00:00,8.6389,49.4074,37000,83,83,37000
11356,2024-03-05 08:00:00+00:00,8.6388,49.4076,2024-03-05 08:12:00+00:00,8.6488,49.4174,23000,57,53,21000
10122,2024-03-05 08:03:00+00:00,8.6484,49.4185,2024-03-05 08:09:00+00:00,8.6493,49.4157,33000,75,74,32000
3954,2024-03-05 08:03:00+00:00,8.6413,49.4121,2024-03-05 08:36:00+00:00,8.6413,49.4121,3000,19,19,3000
7500,2024-03-05 08:03:00+00:00,8.6872,49.4081,2024-03-05 08:15:00+00:00,8.6757,49.4209,25000,60,53,21000
9003,2024-03-05 08:03:00+00:00,8.685,49.4001,2024-03-05 08:09:00+00:00,8.6899,49.3959,45000,98,98,45000
2606,2024-03-05 08:03:00+00:00,8.6759,49.4224,2024-03-05 08:09:00+00:00,8.6853,49.4224,20000,52,51,20000
11705,2024-03-05 08:06:00+00:00,8.6918,49.4307,2024-03-05 08:15:00+00:00,8.6763,49.4201,22000,55,54,21000
11681,2024-03-05 08:12:00+00:00,8.6883,49.4234,2024-03-05 08:21:00+00:00,8.7035,49.4126,25000,61,57,23000
10424,2024-03-05 08:12:00+00:00,8.7105,49.4095,2024-03-05 21:39:00+00:00,8.7108,49.4115,1000,16,100,46000
